"Finding","Value","Source_phase"
"Tautology: H2 supported at all 3 stringency levels","Yes","Phase 2"
"Tautology strictest (k=2): r_hostile - r_crime","0.221 (Z = 5.05)","Phase 2"
"Bootstrap CIs (10,000 BCa): all 3 stringency levels exclude zero","Yes","Phase 3"
"Parsimony sensitivity: H2 holds without parsimony","Yes (Z = 5.87)","Phase 4"
"CFA 4-factor: CFI / RMSEA","0.858 / 0.111 (below conventional thresholds)","Phase 5"
"CFA 5-factor: CFI / RMSEA","0.858 / 0.105","Phase 5"
"TOST equivalence at Δ=.15: cells equivalent","5 / 7","Phase 6"
"Demographic interactions (Punit.): FDR-sig","1 / 24","Phase 7"
"Demographic interactions (Sentence): FDR-sig","0 / 24","Phase 7"
"Pooled mean sentence vs 25-yr anchor","35.2 years (70.4% above 25)","Phase 8"
"Construct-level H1: positive direction","18 / 18 constructs","Phase 9"
"Construct-level H1: FDR-significant","18 / 18 constructs (q < .05)","Phase 9"
"Cluster bootstraps: BCa CIs excluding zero","3 / 3 clusters","Phase 10"
"Political moderation: FDR-sig interactions","0 / 8 correlates","Phase 11"
"BGE rehab × Punit.: range across 5 prototypes","-0.50 to -0.36 (all p < .001)","Phase 12"
"Empath × Punitiveness: FDR-sig lexicons","5 / 26","Phase 13"
